subjects,,,,
code,title,type,hours,splittable
MAR05,Marathi,lec,3,1
MAR06,Marathi,lec,3,1
MAR07,Marathi,lec,3,1
MAR08,Marathi,lec,3,1
MAR09,Marathi,lec,3,1
MAR10,Marathi,lec,3,1
HIN05,Hindi,lec,3,1
HIN06,Hindi,lec,3,1
HIN07,Hindi,lec,3,1
HIN08,Hindi,lec,3,1
HIN09,Hindi,lec,3,1
HIN10,Hindi,lec,3,1
ENG05,English,lec,3,1
ENG06,English,lec,3,1
ENG07,English,lec,3,1
ENG08,English,lec,3,1
ENG09,English,lec,3,1
ENG10,English,lec,3,1
MATH05,Mathemetics,lec,3,1
MATH06,Mathemetics,lec,3,1
MATH07,Mathemetics,lec,3,1
MATH08,Mathemetics,lec,3,1
MATH09,Mathemetics,lec,3,1
MATH10,Mathemetics,lec,3,1
SCI06,Science,lec,3,1
SCI07,Science,lec,3,1
SCI08,Science,lec,3,1
SCI09,Science,lec,3,1
SCI10,Science,lec,3,1
PAR01,Parisar-01,lec,3,1
PAR02,Parisar-02,lec,3,1
HIS06,History-Geography,lec,3,1
HIS07,History-Geography,lec,3,1
HIS08,History-Geography,lec,3,1
HIS09,History-Geography,lec,3,1
HIS10,History-Geography,lec,3,1
PT05,PhysicalEducaion,lec,1,0
PT06,PhysicalEducaion,lec,1,0
PT07,PhysicalEducaion,lec,1,0
PT08,PhysicalEducaion,lec,1,0
PT09,PhysicalEducaion,lec,1,0
PT10,PhysicalEducaion,lec,1,0
ART05,ArtCraft,lec,1,0
ART06,ArtCraft,lec,1,0
ART07,ArtCraft,lec,1,0
ART08,ArtCraft,lec,1,0
